"이름","전투력","협투력","속성","버스트","기업","무기","클래스","돌파","코강","호감도","스킬1","스킬2","버스트스킬","우코(%)","공증(%)","장탄(%)","크확(%)","크댐(%)","명중(%)","차댐(%)","차속(%)","방어(%)","소장품","큐브","큐브_레벨","머리_티어","머리_레벨","머리_옵1","머리_옵1값","머리_옵2","머리_옵2값","머리_옵3","머리_옵3값","몸통_티어","몸통_레벨","몸통_옵1","몸통_옵1값","몸통_옵2","몸통_옵2값","몸통_옵3","몸통_옵3값","장갑_티어","장갑_레벨","장갑_옵1","장갑_옵1값","장갑_옵2","장갑_옵2값","장갑_옵3","장갑_옵3값","다리_티어","다리_레벨","다리_옵1","다리_옵1값","다리_옵2","다리_옵2값","다리_옵3","다리_옵3값","콘솔_공용","콘솔_화력형","콘솔_방어형","콘솔_지원형","콘솔_엘리시온","콘솔_미실리스","콘솔_테트라","콘솔_필그림","콘솔_어브노멀"
"앵커 : 이노센트 메이드","694032","47580","수냉","버스트2","엘리시온","RL","지원형","3","7","30","10","10","10","42.91","5.47","0.00","8.01","0.00","19.40","9.70","0.00","18.69","SR 15","","","10","5","크확","3.32","우코","19.35","","","10","5","명중","7.59","공증","5.47","","","10","5","명중","11.81","우코","23.56","방어","11.81","10","0","크확","4.69","차댐","9.70","방어","6.88","370","225","224","225","228","228","228","263","220"
"엠마 : 택티컬 업","573201","32852","작열","버스트1","엘리시온","MG","지원형","3","6","30","7","7","7","0.00","0.00","68.93","5.71","0.00","23.62","11.81","0.00","11.81","R 5","","","10","0","명중","11.81","","","","","10","0","방어","11.81","크확","5.71","","","10","0","장탄","68.93","","","명중","11.81","10","0","차댐","11.81","","","","","370","225","224","225","228","228","228","263","220"
"프로덕트 12","241798","7823","작열","버스트3","미실리스","MG","화력형","0","0","1","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","0","0","","","","","","","0","0","","","","","","","0","0","","","","","","","0","0","","","","","","","370","225","224","225","228","228","228","263","220"
"퀸(마코토)","562200","40305","작열","버스트3","어브노멀","SG","화력형","0","0","10","9","9","9","81.60","16.58","0.00","3.32","0.00","6.88","0.00","5.00","0.00","SR 15","","","10","5","차속","4.63","우코","19.35","","","10","1","우코","20.75","명중","6.88","공증","6.18","10","3","우코","22.15","","","공증","10.40","10","0","크확","3.32","우코","19.35","","","370","225","224","225","228","228","228","263","220"
"헬름","684582","47082","수냉","버스트3","엘리시온","SR","화력형","3","7","30","10","10","10","47.12","20.80","0.00","2.30","0.00","0.00","0.00","12.00","11.81","애장품 ★★★","","","10","5","차속","3.75","공증","10.40","","","10","3","크확","2.30","공증","10.40","차속","4.92","10","3","차속","3.16","우코","23.56","","","10","0","우코","23.56","방어","11.81","","","370","225","224","225","228","228","228","263","220"
"일레그","384708","10546","전격","버스트2","미실리스","MG","지원형","3","7","30","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"솔린 : 프로스트 티켓","602186","29723","수냉","버스트1","엘리시온","SG","지원형","3","5","30","10","4","1","0.00","23.62","137.86","0.00","0.00","11.81","0.00","10.00","0.00","R 0","택티컬 베어 큐브","15","10","0","차속","4.92","장탄","68.93","","","10","0","명중","11.81","공증","11.81","","","10","0","차속","4.92","장탄","68.93","","","10","0","공증","11.81","","","","","370","225","224","225","228","228","228","263","220"
"스노우 화이트","689732","52437","철갑","버스트3","필그림","AR","화력형","3","3","40","4","7","10","81.60","25.04","0.00","5.37","22.10","6.18","0.00","0.00","0.00","SR 15","렐릭 디스트로이 큐브","11","10","5","크댐","15.46","명중","6.18","우코","22.15","10","5","우코","19.35","크댐","6.64","","","10","5","우코","17.95","공증","12.52","","","10","0","크확","5.37","우코","22.15","공증","12.52","370","225","224","225","228","228","228","263","220"
"킬로","333770","8679","작열","버스트3","미실리스","MG","방어형","3","0","16","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"라푼젤 : 퓨어 그레이스","355302","10636","철갑","버스트1","필그림","SR","방어형","3","3","40","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"D","390277","10298","풍압","버스트3","엘리시온","SMG","화력형","3","7","24","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"루드밀라 : 윈터 오너","624334","44684","수냉","버스트3","테트라","MG","화력형","3","0","30","10","7","9","90.01","21.52","113.21","0.00","0.00","4.77","0.00","0.00","4.77","SR 5","택티컬 베어 큐브","15","10","5","우코","22.15","명중","4.77","장탄","36.06","10","5","우코","19.35","장탄","77.15","공증","12.52","10","5","우코","29.16","공증","9.00","","","10","0","방어","4.77","우코","19.35","","","370","225","224","225","228","228","228","263","220"
"레이 (가칭)","594893","33468","풍압","버스트3","어브노멀","AR","화력형","3","0","30","7","7","7","62.25","32.62","80.34","0.00","27.98","0.00","0.00","0.00","6.18","SR 5","","","10","0","크댐","19.38","우코","22.15","공증","11.81","10","0","우코","17.95","장탄","36.06","","","10","0","공증","9.70","방어","6.18","우코","22.15","10","0","크댐","8.60","장탄","44.28","공증","11.11","370","225","224","225","228","228","228","263","220"
"iDoll 플라워","245264","7830","풍압","버스트1","테트라","RL","방어형","0","0","1","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","0","0","","","","","","","0","0","","","","","","","0","0","","","","","","","0","0","","","","","","","370","225","224","225","228","228","228","263","220"
"A2","488122","22094","작열","버스트3","어브노멀","RL","화력형","3","0","30","4","5","5","88.62","0.00","0.00","0.00","0.00","6.18","6.18","0.00","0.00","R 0","","","10","0","우코","23.56","","","","","10","0","우코","23.56","","","","","10","0","우코","20.75","명중","6.18","차댐","6.18","10","0","우코","20.75","","","","","370","225","224","225","228","228","228","263","220"
"네로","582811","33103","작열","버스트2","테트라","SMG","방어형","3","7","30","7","4","4","0.00","11.81","68.93","0.00","44.42","0.00","0.00","0.00","16.58","SR 5","렐릭 템퍼링 큐브","6","10","0","공증","11.81","","","","","10","0","크댐","16.44","방어","11.81","","","10","0","방어","4.77","크댐","11.54","","","10","0","크댐","16.44","장탄","68.93","","","370","225","224","225","228","228","228","263","220"
"블랑","736500","42540","풍압","버스트2","테트라","AR","방어형","3","7","30","4","7","10","47.12","0.00","68.93","0.00","49.32","11.81","0.00","5.00","11.81","SR 5","렐릭 디스트로이 큐브","11","10","4","크댐","16.44","방어","11.81","명중","11.81","10","0","장탄","68.93","우코","23.56","차속","4.92","10","0","우코","23.56","","","크댐","16.44","10","0","크댐","16.44","","","","","370","225","224","225","228","228","228","263","220"
"퀀시","320046","7999","전격","버스트2","미실리스","SMG","지원형","0","0","8","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"스노우 화이트 : 이노센트 데이즈","488206","15608","철갑","버스트3","필그림","AR","화력형","3","7","25","4","4","4","23.56","0.00","68.93","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","10","0","장탄","68.93","우코","23.56","","","9","2","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"로산나 : 시크 오션","592280","33581","풍압","버스트2","테트라","AR","지원형","3","0","30","7","10","10","0.00","11.81","0.00","5.71","0.00","11.81","11.81","5.00","23.62","SR 5","","","10","0","차속","4.92","","","","","10","0","명중","11.81","방어","11.81","크확","5.71","10","0","방어","11.81","","","","","10","0","공증","11.81","차댐","11.81","","","370","225","224","225","228","228","228","263","220"
"마르차나 : 마린 스터디","694633","50140","철갑","버스트3","엘리시온","AR","화력형","3","1","30","10","10","10","94.22","38.26","0.00","2.64","14.48","5.47","6.18","3.00","0.00","SR 15","","","10","5","차댐","6.18","공증","13.93","우코","17.95","10","4","우코","19.35","크확","2.64","차속","2.86","10","5","명중","5.47","공증","13.22","우코","27.76","10","0","우코","29.16","공증","11.11","크댐","14.48","370","225","224","225","228","228","228","263","220"
"니힐리스타","322713","8397","작열","버스트2","필그림","SR","화력형","0","0","8","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"아니스","289611","9116","철갑","버스트2","테트라","RL","방어형","2","0","30","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"노벨","375633","9537","철갑","버스트2","테트라","SMG","방어형","3","6","11","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"미사토","273864","9021","철갑","버스트1","어브노멀","SMG","지원형","2","0","30","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"시그널","382636","9737","작열","버스트2","엘리시온","SMG","화력형","3","6","15","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"파스칼","282357","9055","철갑","버스트1","어브노멀","RL","지원형","2","0","30","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"아이기스","272594","8270","철갑","버스트2","어브노멀","SMG","지원형","2","0","10","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"소다 : 트윙클링 바니","759959","50960","철갑","버스트3","테트라","SG","화력형","3","7","30","10","10","10","95.63","17.28","27.84","0.00","0.00","11.81","11.81","0.00","0.00","SR 15","택티컬 베어 큐브","15","10","0","우코","23.56","공증","11.81","차댐","11.81","10","0","우코","22.15","","","공증","5.47","10","0","장탄","27.84","우코","26.36","","","10","0","우코","23.56","명중","11.81","","","370","225","224","225","228","228","228","263","220"
"앵커","278564","9076","풍압","버스트1","엘리시온","RL","방어형","2","0","29","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"루드밀라","388116","10358","수냉","버스트1","테트라","SMG","방어형","3","5","23","1","2","4","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"에피넬","391169","10436","풍압","버스트3","미실리스","SMG","화력형","3","7","27","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","1","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"베스티 : 택티컬 업","632274","33713","작열","버스트3","엘리시온","RL","화력형","3","7","30","7","7","7","12.34","20.81","48.39","9.37","7.62","6.88","22.21","0.00","0.00","SR 5","","","10","0","크확","5.71","공증","11.81","차댐","11.81","10","0","명중","6.88","우코","12.34","","","10","0","차댐","10.40","","","공증","9.00","10","0","장탄","48.39","크댐","7.62","크확","3.66","370","225","224","225","228","228","228","263","220"
"프로덕트 08","238895","7811","전격","버스트1","미실리스","SR","지원형","0","0","1","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","0","0","","","","","","","0","0","","","","","","","0","0","","","","","","","0","0","","","","","","","370","225","224","225","228","228","228","263","220"
"맥스웰","680588","39575","철갑","버스트3","미실리스","SR","화력형","3","7","30","10","4","10","0.00","20.11","219.12","0.00","0.00","10.40","22.92","5.00","0.00","SR 5","","","10","5","명중","10.40","공증","11.11","","","10","0","장탄","85.37","차댐","11.11","","","10","2","공증","9.00","","","장탄","64.82","10","0","차댐","11.81","차속","4.92","장탄","68.93","370","225","224","225","228","228","228","263","220"
"리버렐리오","732082","55978","풍압","버스트3","필그림","SR","화력형","3","2","40","10","10","10","98.42","22.22","73.04","0.00","12.52","0.00","7.59","15.00","0.00","SR 15","","","10","5","우코","26.36","차속","6.09","크댐","12.52","10","5","우코","20.75","장탄","73.04","공증","9.70","10","5","공증","12.52","차속","4.63","우코","22.15","10","0","우코","29.16","차댐","7.59","차속","4.63","370","225","224","225","228","228","228","263","220"
"누아르","589923","25885","풍압","버스트3","테트라","SG","화력형","3","7","30","7","9","4","22.15","11.81","68.93","0.00","14.48","11.81","0.00","0.00","11.81","R 0","","","10","0","방어","11.81","","","","","10","0","명중","11.81","","","","","10","1","장탄","68.93","","","공증","11.81","10","0","우코","22.15","크댐","14.48","","","370","225","224","225","228","228","228","263","220"
"레오나","439814","11774","수냉","버스트2","테트라","SG","지원형","3","7","30","4","7","4","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"사쿠라","273572","9021","수냉","버스트1","어브노멀","SMG","지원형","2","0","30","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"헬름 : 아쿠아마린","562684","25567","철갑","버스트2","엘리시온","AR","화력형","3","0","30","4","10","4","23.56","0.00","137.86","0.00","16.44","0.00","23.62","0.00","23.62","R 0","","","10","0","장탄","68.93","차댐","11.81","","","10","0","우코","23.56","","","","","10","0","장탄","68.93","크댐","16.44","방어","11.81","10","0","차댐","11.81","방어","11.81","","","370","225","224","225","228","228","228","263","220"
"솔린","460432","15638","철갑","버스트3","엘리시온","SMG","화력형","3","7","30","1","1","1","23.56","0.00","0.00","0.00","0.00","11.81","0.00","0.00","0.00","R 0","렐릭 비고르 큐브","7","10","0","우코","23.56","","","명중","11.81","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"미하라","287912","9166","수냉","버스트3","미실리스","AR","화력형","2","0","30","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"미하라 : 본딩 체인","727063","58672","작열","버스트3","미실리스","MG","화력형","3","2","40","10","10","10","94.22","40.90","52.50","9.03","9.58","0.00","0.00","0.00","0.00","SR 15","렐릭 베어 큐브","15","10","5","크댐","9.58","우코","24.96","공증","10.40","10","5","공증","8.29","장탄","52.50","우코","22.15","10","5","우코","20.75","공증","11.81","크확","5.37","10","0","크확","3.66","우코","26.36","공증","10.40","370","225","224","225","228","228","228","263","220"
"브리드 : 사일런트 트랙","582869","40606","작열","버스트2","엘리시온","SG","지원형","3","0","30","10","10","10","83.00","0.00","27.84","0.00","7.62","15.88","0.00","3.00","0.00","SR 15","","","10","5","우코","22.15","명중","4.77","","","10","0","우코","22.15","명중","11.11","","","10","0","차속","3.16","크댐","7.62","우코","20.75","10","0","장탄","27.84","우코","17.95","","","370","225","224","225","228","228","228","263","220"
"라플라스","608061","37746","철갑","버스트3","미실리스","RL","화력형","3","7","30","4","4","4","23.56","11.81","68.93","0.00","16.44","0.00","11.81","0.00","11.81","애장품 ★★★","","","10","0","장탄","68.93","방어","11.81","","","10","0","크댐","16.44","","","","","10","0","차댐","11.81","","","공증","11.81","10","0","우코","23.56","","","","","370","225","224","225","228","228","228","263","220"
"아스카 : WILLE","558556","40763","풍압","버스트3","어브노멀","MG","화력형","3","0","30","10","7","7","83.00","9.70","0.00","0.00","12.52","0.00","4.77","6.00","0.00","SR 15","","","10","5","크댐","12.52","차속","2.57","우코","20.75","10","1","우코","20.75","차속","3.16","","","10","3","우코","19.35","차댐","4.77","","","10","0","우코","22.15","공증","9.70","","","370","225","224","225","228","228","228","263","220"
"소라","356486","8852","풍압","버스트1","엘리시온","RL","지원형","3","1","14","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"마스트 : 로망틱 메이드","715225","54146","수냉","버스트2","엘리시온","MG","지원형","3","7","30","10","10","10","23.56","0.00","68.93","0.00","16.44","11.81","11.81","5.00","11.81","SR 15","렐릭 베어 큐브","15","10","5","명중","11.81","","","","","10","5","차속","4.92","차댐","11.81","","","10","5","방어","11.81","장탄","68.93","크댐","16.44","10","0","우코","23.56","","","","","370","225","224","225","228","228","228","263","220"
"도로시 : 세렌디피티","668008","50315","수냉","버스트3","필그림","SG","화력형","3","0","40","10","10","10","87.22","6.88","96.77","11.07","16.44","0.00","11.11","0.00","0.00","SR 15","","","10","5","크확","4.00","우코","23.56","크댐","16.44","10","3","장탄","40.17","우코","24.96","공증","6.88","10","5","크확","7.07","","","우코","19.35","10","0","차댐","11.11","우코","19.35","장탄","56.60","370","225","224","225","228","228","228","263","220"
"람","267432","8983","풍압","버스트1","어브노멀","SR","방어형","2","0","30","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"에테르","276596","8366","전격","버스트1","미실리스","SG","방어형","2","0","10","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"아르카나 : 포츈 메이트","707431","51267","작열","버스트2","엘리시온","SG","화력형","3","5","30","10","10","10","87.21","12.36","40.17","5.03","14.48","0.00","0.00","0.00","0.00","SR 15","택티컬 베어 큐브","15","10","5","우코","19.35","크확","5.03","장탄","40.17","10","1","우코","19.35","공증","6.18","","","10","3","크댐","14.48","","","우코","20.75","10","0","우코","27.76","공증","6.18","","","370","225","224","225","228","228","228","263","220"
"페퍼","430993","11537","풍압","버스트1","미실리스","SG","지원형","3","7","30","4","4","4","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"델타","266910","8461","풍압","버스트2","엘리시온","SR","방어형","2","0","14","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"은화 : 택티컬 업","634101","28345","작열","버스트2","엘리시온","SR","화력형","3","7","30","7","7","7","23.56","0.00","68.93","0.00","0.00","11.81","0.00","10.00","35.43","R 0","","","10","0","차속","4.92","","","","","10","0","방어","11.81","","","장탄","68.93","10","0","차속","4.92","방어","11.81","","","10","0","우코","23.56","명중","11.81","방어","11.81","370","225","224","225","228","228","228","263","220"
"유키코","565697","41611","작열","버스트3","어브노멀","MG","화력형","0","0","10","9","9","9","90.02","28.39","36.06","0.00","7.62","0.00","0.00","3.00","0.00","SR 15","","","10","5","차속","3.45","우코","24.96","공증","5.47","10","1","우코","22.15","공증","11.11","크댐","7.62","10","3","우코","23.56","","","공증","11.81","10","0","우코","19.35","","","장탄","36.06","370","225","224","225","228","228","228","263","220"
"바이퍼","674985","42036","수냉","버스트2","테트라","SG","화력형","3","7","30","10","10","10","62.26","9.70","73.04","4.00","0.00","6.88","0.00","3.00","0.00","애장품 ★★★","","","10","0","우코","13.75","","","","","10","0","우코","27.76","","","크확","4.00","10","0","장탄","73.04","우코","20.75","","","10","0","명중","6.88","공증","9.70","차속","3.16","370","225","224","225","228","228","228","263","220"
"크러스트","364036","9665","수냉","버스트2","테트라","RL","지원형","3","2","30","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"그레이브","583318","38520","작열","버스트2","필그림","AR","지원형","3","4","40","10","7","10","42.65","11.81","0.00","0.00","0.00","0.00","7.59","3.00","6.88","SR 15","","","10","0","차속","3.16","우코","13.75","","","10","0","우코","13.75","차댐","7.59","방어","6.88","10","0","공증","11.81","","","","","10","0","우코","15.15","","","","","370","225","224","225","228","228","228","263","220"
"앨리스 : 원더랜드 바니","413284","11298","수냉","버스트1","테트라","SMG","지원형","3","6","30","4","4","4","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"마스트","441897","12897","전격","버스트2","엘리시온","SMG","지원형","3","7","29","4","4","4","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","택티컬 부스트 큐브","8","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"솔져 O.W.","249803","7818","작열","버스트1","엘리시온","SMG","지원형","0","0","1","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","0","0","","","","","","","0","0","","","","","","","0","0","","","","","","","0","0","","","","","","","370","225","224","225","228","228","228","263","220"
"비스킷","645746","28715","전격","버스트2","테트라","RL","지원형","3","7","30","7","7","7","47.12","23.62","68.93","0.00","0.00","0.00","0.00","0.00","11.81","SR 0","렐릭 퀀텀 큐브","8","10","0","우코","23.56","","","","","10","0","장탄","68.93","공증","11.81","","","10","0","우코","23.56","공증","11.81","","","10","0","방어","11.81","","","","","370","225","224","225","228","228","228","263","220"
"델타 : 닌자 시프","551246","25857","수냉","버스트2","엘리시온","MG","방어형","3","2","30","10","4","4","23.56","23.62","0.00","5.71","32.88","11.81","0.00","0.00","11.81","R 0","","","10","0","크댐","16.44","","","","","10","0","명중","11.81","","","크확","5.71","10","0","공증","11.81","방어","11.81","","","10","0","크댐","16.44","공증","11.81","우코","23.56","370","225","224","225","228","228","228","263","220"
"츠바이","660178","41708","전격","버스트1","엘리시온","SG","지원형","3","6","30","10","10","10","23.56","0.00","0.00","0.00","16.44","0.00","35.43","0.00","11.81","애장품 ★★★","","","10","0","우코","23.56","차댐","11.81","방어","11.81","10","0","크댐","16.44","","","","","10","0","차댐","11.81","","","","","10","0","차댐","11.81","","","","","370","225","224","225","228","228","228","263","220"
"메어리","375159","9330","수냉","버스트1","테트라","SG","지원형","3","4","13","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"홍련 : 흑영","759302","53622","풍압","버스트3","필그림","RL","화력형","3","7","40","10","7","10","99.83","31.21","40.17","0.00","0.00","0.00","0.00","9.00","6.18","SR 15","","","10","5","우코","29.16","공증","9.70","차속","5.80","10","5","공증","11.81","차속","2.57","우코","23.56","10","5","우코","22.15","공증","9.70","방어","6.18","10","0","우코","24.96","장탄","40.17","","","370","225","224","225","228","228","228","263","220"
"프림","393035","18924","철갑","버스트1","테트라","SR","지원형","3","4","30","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","애장품 ★★★","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"볼륨","441839","11997","풍압","버스트1","테트라","SMG","화력형","3","7","30","1","7","7","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"노이즈","625492","34646","전격","버스트1","테트라","RL","지원형","3","7","30","7","7","7","23.56","11.81","68.93","0.00","0.00","11.81","0.00","0.00","11.81","SR 5","렐릭 퀀텀 큐브","8","10","0","명중","11.81","","","","","10","0","우코","23.56","","","","","10","0","방어","11.81","","","장탄","68.93","10","0","공증","11.81","","","","","370","225","224","225","228","228","228","263","220"
"밀크 : 블루밍 바니","714543","46065","철갑","버스트3","테트라","SR","화력형","3","6","30","10","10","10","92.82","8.29","0.00","14.41","0.00","0.00","0.00","4.00","11.81","SR 15","","","10","0","우코","23.56","크확","5.71","방어","11.81","10","0","크확","4.35","공증","8.29","우코","26.36","10","0","차속","4.33","우코","22.15","","","10","0","크확","4.35","","","우코","20.75","370","225","224","225","228","228","228","263","220"
"목단","719108","48225","전격","버스트1","테트라","AR","방어형","3","7","30","7","10","10","23.56","35.43","100.88","0.00","0.00","21.51","0.00","8.00","0.00","애장품 ★★★","","","10","5","명중","11.81","우코","23.56","공증","11.81","10","4","공증","11.81","차속","4.92","","","10","3","명중","9.70","장탄","31.95","차속","2.86","10","0","장탄","68.93","공증","11.81","","","370","225","224","225","228","228","228","263","220"
"마리","459705","26804","전격","버스트2","어브노멀","SR","지원형","0","0","10","1","1","1","0.00","11.81","68.93","5.71","0.00","0.00","35.43","0.00","11.81","SR 5","","","10","0","차댐","11.81","장탄","68.93","","","10","0","공증","11.81","크확","5.71","차댐","11.81","10","0","방어","11.81","","","","","10","0","차댐","11.81","","","","","370","225","224","225","228","228","228","263","220"
"릴리","273572","9021","풍압","버스트2","어브노멀","SMG","지원형","2","0","30","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"아비스타","337795","9251","전격","버스트1","엘리시온","MG","지원형","3","0","30","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"도라","419823","11544","풍압","버스트2","테트라","SR","지원형","3","5","30","7","7","4","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"나유타","695809","52629","풍압","버스트2","필그림","SMG","지원형","3","3","40","10","10","10","101.23","25.58","117.32","2.30","0.00","0.00","14.63","0.00","0.00","SR 15","","","10","5","우코","29.16","크확","2.30","공증","8.29","10","5","차댐","14.63","우코","24.96","","","10","5","공증","11.11","우코","22.15","장탄","36.06","10","0","장탄","81.26","공증","6.18","우코","24.96","370","225","224","225","228","228","228","263","220"
